index,Maximum Installs
0,170
2,6253
3,22
4,41
5,5094
6,80
8,5
9,70742
10,3123
11,90
12,2266
13,51
14,253
15,12
16,33
17,151
18,3015
19,86028
20,1227
21,336
22,225
23,20
24,24
25,6724
26,108
27,236
28,1816
29,734
30,8032
31,16
32,0
34,73
35,1186
36,1512
37,51
38,12194
39,224
40,11179
41,4529749
42,3994
43,91556
44,74506
45,671
46,746
47,169
48,81
49,362
50,10924
51,77840
52,195122
53,2725
55,2160
56,60
57,23414
58,32
59,10427
60,226
61,51
62,1552009
64,14191
65,1227
66,54311
67,60
68,224
69,2996
70,37336
71,27
72,855
73,131220
74,473206
75,41515
77,3
78,29272
79,1863
80,1040
81,3813
82,23
83,53778
84,75891
85,323982
86,47
87,390
88,1731
89,1976
90,40382
92,14
93,0
95,30
96,342
97,1243
98,24
99,1896
100,1130
101,198
102,59159
103,7
104,1424
105,17796
106,24
107,72
108,1774
109,178
110,236595
111,191
112,30341
113,14
114,2393
115,156
116,1274
117,58
118,13748
119,821
120,4134
121,126876
122,17094
123,2
124,140
125,271
126,71447
127,21160
129,366
130,285
131,168
132,161
133,62
134,610
135,289
136,11
137,28594
138,6785
139,2602
140,3
141,279
142,1773
143,19
144,509
145,3111
146,84
147,427
148,23
149,247
150,1728
151,42252
153,571
154,155
156,3497
157,6558
158,4665
159,141
160,90
161,5
162,161
163,14
164,1938
165,130
166,596
167,28081548
168,12169001
169,341
170,29180
171,6104171
173,150
174,12
175,439
176,31
177,4820
178,1196
179,6807
180,1087
181,3565
182,169
183,55
184,31
185,46
186,69
187,102
188,42041
189,1750
190,65
191,3693
192,614
193,145602
195,154
196,273
197,9739
198,688223
199,4302
200,3
201,9055
202,80
203,89
204,22
205,44094
206,232
207,756
208,256
209,38
210,34
211,43
212,96
213,15274
214,3
215,1948
216,672
217,27
218,4470
219,288
220,540
221,6072
223,232
224,4798
225,9
226,42
227,37
228,5068
229,323
230,33706
231,57
232,17
234,6758
235,684
236,1618
238,11688
239,178
240,4741
241,474
242,25934
243,123834
244,7
245,39909
246,17189
247,154
248,21
249,1874105
250,164085
251,3813
252,215
253,13967
254,10548
255,8
256,11
257,10
258,23986
259,349
260,62
261,37756
262,34
263,477
265,139
266,94489
267,35435
268,4
269,2111
270,3729
271,94
272,8288
273,313
274,474
275,52
276,289
277,1724
278,2180
279,8
280,10325
282,31
283,11232
284,87
285,149
286,5185
287,5
288,890
289,5195
290,934
291,34634
292,110704
293,101
294,98
295,2
296,293
297,912
298,1047
299,11
300,620
301,119
302,1144
303,132
304,432
305,56
306,375
307,103
308,298
309,21
310,4895
311,24
312,18138
313,6806
315,499
316,1109
317,619
318,313
319,209
321,6
322,475622
323,8439
324,68
325,19
326,129
327,900841
328,486
329,1
331,2685
332,3402
333,88
334,1240
335,219
336,24476
337,189
338,298
339,10
340,37105
341,1544
342,2
343,552
344,39273
345,3249
346,5023
347,22933
348,38746
349,41585
350,813
351,101718
352,739
353,4
354,446
355,6638
356,5494
357,991
358,59
359,153998
360,2615863
361,179
362,177
363,2
364,5593
365,43
366,1903002
368,443
369,1002
370,33203
371,3023204
372,51697
374,11289
375,130
376,566
377,10022
378,24
379,161
380,1
381,468
382,18
383,574030
384,994
385,8648
386,21
387,32
388,759
389,1178
390,32556
391,501
392,823
393,173
394,9207
395,18
396,13
397,6284
398,43
400,204
401,531
402,157005
403,623
404,94704
405,1290
406,2254
407,84
408,772
409,984
410,54
411,76
412,1510527
413,26
415,85
416,680
418,126
419,3
420,41095
421,811
422,90
423,25
424,719
425,115
426,4863
427,9319
428,102
429,216
430,252
431,7706
432,17
433,28
434,18
435,797
436,51
437,330639
438,4
439,126403
440,723
441,620
442,5551
443,16
444,2358
445,15
446,14381
447,36
448,377508
450,26746
451,2065
452,5592
453,2781
454,20
455,6
456,19657
457,3
458,338699
459,14
460,537
461,8756
462,2119
463,263
464,882
465,123
466,1083
467,755
468,732
469,32146
470,7
471,93
472,12814
473,117
474,18
475,223
476,18611
477,22364
478,5
479,46
480,50
481,4113
482,12342
483,7
484,22503860
485,561
486,130
487,11390
488,7
489,3159
490,1865106
491,287
492,2798
493,2118
494,558
496,548
497,15583
498,118
499,883
500,14
501,688
502,72
503,1200
504,501
505,3129015
506,114
507,357
508,476
509,4
510,5323
511,1986
512,1
513,1164
514,1519
515,25477
516,13193
517,60647
518,8
520,429
521,82
522,13919
523,4372
525,44065
526,114
527,1255
528,1114
529,4
531,122
532,14694
533,10
534,213
535,3815558
536,56
537,413
540,2656
541,336498
542,54
543,112
544,115
545,1907
546,68
547,1374
548,169
549,59
550,8064
551,721
552,1073
553,1305
554,299
555,492
556,569
557,36
558,6049
559,10
560,886
561,46
562,126
563,103
564,13
565,37
566,20
567,11
568,11
569,129
570,26417
571,114
572,46
573,2
574,44244
575,152220
576,6
577,27525
578,123
579,21
580,639
581,44
582,748
583,720
585,893648
587,63
588,8
589,59
590,2367613
591,368
593,40359
594,90
595,16783
596,122
597,2176
598,358
599,292
600,71
601,969
602,56
603,264
604,2436
605,368350
606,67
607,20
608,146
609,1110
610,13
611,70
612,9404
613,676
614,10
615,40380
616,161
618,32
619,17
620,133
621,3088
622,227
623,15076
624,204
625,1409
626,4322
627,378
628,3028
629,29
630,24781
631,263511
632,6807
633,1068706
634,8206
635,229
636,1
637,3807
638,122
639,6173
640,115
641,1073
642,100014
643,26
644,9
646,1469
647,24
648,421
649,22
650,3530872
651,248685
652,9065
653,145
654,358
655,431
656,29
657,217455
658,376
659,10489
660,6
662,27
663,6928
664,44820
665,736
666,69
667,3
668,1419
669,187250
670,44310
671,3575
672,434
673,15
674,574
676,1560
677,32177
678,2355
679,110
680,288
681,14489
682,4887
683,1061
684,24122
685,43
686,1883
687,64577
688,7218
689,972
690,1437401
692,112
693,8146
694,288
695,1135
696,892
697,445
698,210
699,315
700,27162
701,498
703,1315
704,169
