,Installs
0,7.0
2,11.0
3,4.0
4,4.0
5,11.0
6,13.0
8,10.0
9,14.0
10,2.0
11,13.0
12,2.0
13,13.0
14,7.0
15,4.0
16,4.0
17,7.0
18,2.0
19,14.0
20,2.0
21,7.0
22,7.0
23,4.0
24,4.0
25,11.0
26,7.0
27,7.0
28,2.0
29,16.0
30,11.0
31,4.0
32,0.0
34,13.0
35,2.0
36,2.0
37,13.0
38,5.0
39,7.0
40,5.0
41,3.0
42,2.0
43,14.0
44,14.0
45,16.0
46,16.0
47,7.0
48,13.0
49,7.0
50,5.0
51,14.0
52,8.0
53,2.0
55,2.0
56,13.0
57,5.0
58,4.0
59,5.0
60,7.0
61,13.0
62,3.0
64,5.0
65,2.0
66,14.0
67,13.0
68,7.0
69,2.0
70,5.0
71,4.0
72,16.0
73,8.0
74,8.0
75,5.0
77,1.0
78,5.0
79,2.0
80,2.0
81,2.0
82,4.0
83,14.0
84,14.0
85,8.0
86,4.0
87,7.0
88,2.0
89,2.0
90,5.0
92,4.0
93,0.0
95,4.0
96,7.0
97,2.0
98,4.0
99,2.0
100,2.0
101,7.0
102,14.0
103,10.0
104,2.0
105,5.0
106,4.0
107,13.0
108,2.0
109,7.0
110,8.0
111,7.0
112,5.0
113,4.0
114,2.0
115,7.0
116,2.0
117,13.0
118,5.0
119,16.0
120,2.0
121,8.0
122,5.0
123,1.0
124,7.0
125,7.0
126,14.0
127,5.0
129,7.0
130,7.0
131,7.0
132,7.0
133,13.0
134,16.0
135,7.0
136,4.0
137,5.0
138,11.0
139,2.0
140,1.0
141,7.0
142,2.0
143,4.0
144,16.0
145,2.0
146,13.0
147,7.0
148,4.0
149,7.0
150,2.0
151,5.0
153,16.0
154,7.0
156,2.0
157,11.0
158,2.0
159,7.0
160,13.0
161,10.0
162,7.0
163,4.0
164,2.0
165,7.0
166,16.0
167,6.0
168,6.0
169,7.0
170,5.0
171,12.0
173,7.0
174,4.0
175,7.0
176,4.0
177,2.0
178,2.0
179,11.0
180,2.0
181,2.0
182,7.0
183,13.0
184,4.0
185,4.0
186,13.0
187,7.0
188,5.0
189,2.0
190,13.0
191,2.0
192,16.0
193,8.0
195,7.0
196,7.0
197,11.0
198,17.0
199,2.0
200,1.0
201,11.0
202,13.0
203,13.0
204,4.0
205,5.0
206,7.0
207,16.0
208,7.0
209,4.0
210,4.0
211,4.0
212,13.0
213,5.0
214,1.0
215,2.0
216,16.0
217,4.0
218,2.0
219,7.0
220,16.0
221,11.0
223,7.0
224,2.0
225,10.0
226,4.0
227,4.0
228,11.0
229,7.0
230,5.0
231,13.0
232,4.0
234,11.0
235,16.0
236,2.0
238,5.0
239,7.0
240,2.0
241,7.0
242,5.0
243,8.0
244,10.0
245,5.0
246,5.0
247,7.0
248,4.0
249,3.0
250,8.0
251,2.0
252,7.0
253,5.0
254,5.0
255,10.0
256,4.0
257,4.0
258,5.0
259,7.0
260,13.0
261,5.0
262,4.0
263,7.0
265,7.0
266,14.0
267,5.0
268,1.0
269,2.0
270,2.0
271,13.0
272,11.0
273,7.0
274,7.0
275,13.0
276,7.0
277,2.0
278,2.0
279,10.0
280,5.0
282,4.0
283,5.0
284,13.0
285,7.0
286,11.0
287,10.0
288,16.0
289,11.0
290,16.0
291,5.0
292,8.0
293,7.0
294,13.0
295,1.0
296,7.0
297,16.0
298,2.0
299,4.0
300,16.0
301,7.0
302,2.0
303,7.0
304,7.0
305,13.0
306,7.0
307,7.0
308,7.0
309,4.0
310,2.0
311,4.0
312,5.0
313,11.0
315,7.0
316,2.0
317,16.0
318,7.0
319,7.0
321,10.0
322,8.0
323,11.0
324,13.0
325,4.0
326,7.0
327,17.0
328,7.0
329,1.0
331,2.0
332,2.0
333,13.0
334,2.0
335,7.0
336,5.0
337,7.0
338,7.0
339,4.0
340,5.0
341,2.0
342,1.0
343,16.0
344,5.0
345,2.0
346,11.0
347,5.0
348,5.0
349,5.0
350,16.0
351,8.0
352,16.0
353,1.0
354,7.0
355,11.0
356,11.0
357,16.0
358,13.0
359,8.0
360,3.0
361,7.0
362,7.0
363,1.0
364,11.0
365,4.0
366,3.0
368,7.0
369,2.0
370,5.0
371,3.0
372,14.0
374,5.0
375,7.0
376,16.0
377,5.0
378,4.0
379,7.0
380,1.0
381,7.0
382,4.0
383,17.0
384,16.0
385,11.0
386,4.0
387,4.0
388,16.0
389,2.0
390,5.0
391,16.0
392,16.0
393,7.0
394,11.0
395,4.0
396,4.0
397,11.0
398,4.0
400,7.0
401,16.0
402,8.0
403,16.0
404,14.0
405,2.0
406,2.0
407,13.0
408,16.0
409,16.0
410,13.0
411,13.0
412,3.0
413,4.0
415,13.0
416,16.0
418,7.0
419,1.0
420,5.0
421,16.0
422,13.0
423,4.0
424,16.0
425,7.0
426,2.0
427,11.0
428,7.0
429,7.0
430,7.0
431,11.0
432,4.0
433,4.0
434,4.0
435,16.0
436,13.0
437,8.0
438,1.0
439,8.0
440,16.0
441,16.0
442,11.0
443,4.0
444,2.0
445,4.0
446,5.0
447,4.0
448,8.0
450,5.0
451,2.0
452,11.0
453,2.0
454,4.0
455,10.0
456,5.0
457,1.0
458,8.0
459,4.0
460,16.0
461,11.0
462,2.0
463,7.0
464,16.0
465,7.0
466,2.0
467,16.0
468,16.0
469,5.0
470,10.0
471,13.0
472,5.0
473,7.0
474,4.0
475,7.0
476,5.0
477,5.0
478,10.0
479,4.0
480,13.0
481,2.0
482,5.0
483,10.0
484,6.0
485,16.0
486,7.0
487,5.0
488,10.0
489,2.0
490,3.0
491,7.0
492,2.0
493,2.0
494,16.0
496,16.0
497,5.0
