index,Maximum Installs
0,1148432
1,89
3,245946
4,5360
5,86182
6,7797
7,26
8,7939
9,81446
10,1523
11,36
12,104
15,2
16,167763
17,68
18,102
19,2740
20,836
21,16
22,310
23,6269388
24,1708055
25,75472
26,437
27,14
28,455
29,2199
30,1976
31,126
32,24
33,144
34,1242
35,33
36,604798
37,74
38,307
39,6783
40,5
41,37806
42,2523
43,3467
45,7
46,19101
47,1908
48,474
50,408519
51,11872
52,454
53,47599
54,8
55,35
56,557173
57,18
58,44814
59,152009
60,242
61,524
62,593
64,9
65,465
66,6278
67,34020
68,5023
69,57241
70,604
71,259
72,717
73,93
74,8086
75,41573
76,76221
77,3122035
78,666
79,9
80,4907
81,22
82,5113
83,187
84,249
85,326
86,11063
87,96
88,2
89,1948
90,63
91,1431
92,8855
93,1723
94,19
95,2015
96,295
97,131
98,2527
99,69
100,50
101,120
102,107004
103,7
104,2962
105,71
106,5
107,341257
108,257285
109,95
110,5233
112,23
113,3
114,19
115,3329
116,51392
117,1311
118,1191
119,46
121,4827
122,7313
123,912901
126,19
127,79819
128,2
129,290
130,174
131,1212
132,14617
133,29
134,158
135,21
136,349
137,19870
138,12
139,1366
140,9856
141,21519
143,17
144,48
145,61
146,3217
147,63
148,36
149,666
151,490
152,17490
153,6611
154,854
155,17336
156,14864
157,9499
158,148475
159,653
160,125
161,15
162,217699
163,4615
164,401
165,190
166,386
167,2
168,7287
169,1468
170,1846
171,135026
172,26
174,130
175,15055
176,31
177,871
178,24607
179,36
180,3484
181,521
182,2881
183,893435
184,72967
185,2260
186,20
187,71
188,30
189,14870
190,1767
191,1313
192,21
193,15549
194,333
196,209
197,14
198,1311
199,459
200,1006013
201,35
203,22
204,2
205,2465
206,2870
207,3
208,2465
209,247286
210,643
211,26
212,32
213,25007
214,145
215,24
216,30329
217,19
218,23612
219,8730
220,216
221,19623
222,278
223,251
224,2
225,14144
226,11498
227,79133
228,454
229,59362
230,341
231,57
234,6
235,23133
236,7065
237,27
238,1
239,1259
240,694
241,210
242,6127
243,5346
245,57
246,2008
247,9771
248,2482
249,1200
250,210
251,134764
252,1148
253,26
254,106
255,223
256,84
257,933
258,140209
259,181
260,17707
261,256344
262,20
263,6221
264,47543
265,204602
266,605
267,21
268,38635
269,58
270,192
271,123979
272,71
273,1014
275,58
276,58364
277,732943
278,126
279,190
280,326
281,5
282,92
283,9059
284,36844
285,2065
286,238
287,30006
288,511
289,112
290,4
291,25084
292,154
294,16662
295,201869
296,86
297,151
298,33
299,46
301,53216
302,175
303,132
304,10
305,747
306,1336
307,13662
308,10
309,79
310,29
311,13
312,21
313,692
314,833
315,652
316,3097
317,10257
319,60
320,66253
321,4515
322,15
323,45086
324,3018
325,45933
327,1420
328,1303
329,1119
330,90
331,1
332,3393
333,4113
334,114
336,152
337,29567
338,2532
339,23
340,9303
341,100038
342,6373
344,18968
345,32
346,19489
347,833
348,87
349,585
350,17
351,334
352,3435
353,8750
354,86
355,682252
356,385
357,367
358,1672
359,30
360,9154
361,22576
362,5
363,374
364,35
365,22
366,57
367,111704
368,56
369,259
370,4492
371,30
372,4604
373,756
374,51392
375,155547
376,357
377,15131
378,1950
379,1793
380,86
381,7065
382,894
383,217
384,9650
385,1652
387,3202
388,159
389,76
390,75
391,2990
392,840
393,14105
394,236
395,6
396,150
397,8564
398,206
399,18334
400,31
401,11
402,9821
403,501
404,11986
405,87
406,6869
407,36
408,643
409,20493
410,7953
411,405
412,590
413,54
414,7002590
415,411786
416,262
417,16
418,12379
419,1892
420,912
421,1269
422,338904
423,3
424,27
425,2588
426,8796
427,1039
428,210
429,20
430,1645
431,3063
432,71
433,3588
434,103
435,479
436,109
437,14024
438,28004
439,80
440,0
441,4633
442,418
444,285
445,10904
446,13199
447,69
448,38452
450,35
451,289
453,58
454,89
455,12
456,840
457,96
459,337
460,2278
461,1
462,102
463,22
464,37925
465,89
466,19277
467,961
468,134764
469,1251
470,56839
471,10
472,43116
473,45642
475,11287
476,35587665
477,1039
478,2064
479,4096
480,4156
481,791
483,18446
484,209
485,108
486,122693
487,11
488,37
489,348296
490,42865
491,1442
492,11799
493,18
494,61082
495,24
496,918
497,2
498,184529
499,1052
500,192
501,40
502,974
503,1203
504,14
505,13
506,9335
507,1527
508,107
509,10236
510,408519
511,2842
512,2
513,10472
514,1730
515,992
516,104
517,7
518,8078
519,2065
520,1642
521,188
522,1124
523,4881
524,331
525,50
526,2191
527,11165
528,222
529,179303
530,4
531,212
532,6
533,4399
534,4
535,712
536,5
537,9
538,492
539,4005
540,9
541,334
542,326
543,1959
544,2775
545,35710
546,659
547,111
548,576
549,16
550,1
551,21
552,1645
553,37
554,21550
555,257
556,2089
557,5
558,18927
559,3383
560,3
561,192
563,10412
564,39167
565,130488
566,72590
567,1508280
568,6
569,57
570,853
572,8
573,174
574,5134
575,868
576,246
577,1339
578,350
579,82046
580,6
581,26136
582,7877
583,92897
584,96064
585,320
586,80
587,12009
588,21078
589,145772
590,8078
591,6
592,4
593,281
594,2479
595,230
596,157
597,581
598,3447
599,316
600,65
601,1123
603,8815
604,638
605,991
606,7986
607,8521
608,186
609,19527
610,1175
611,83
612,1342
614,1640
615,5558
616,1000
617,119
618,73
619,875
620,1975
621,30
622,8160135
623,2327
624,7584
625,401
626,116
627,501
628,9874
629,148
631,33
632,26
633,82
634,1838
636,174
637,2384769
638,81
639,13558
640,6244
641,1472
642,113
643,36
644,3
645,196
646,167
647,468266
648,1297
649,350
650,18
651,16
652,91580
653,22290
654,19
655,82210
656,78
657,2914
658,29
659,25336
660,115
661,210367
662,33
663,16318
664,2
665,76
666,4
667,118
668,362
669,12
670,122
671,6
672,513
673,114
674,974
675,38793
676,83
677,1267
678,9283
679,259633
680,10496
681,25
682,8391
683,1390
684,25
687,1592
688,482
689,57
690,260
692,19
693,162
694,86
695,659
696,18868
697,176
698,4470
699,2915
700,26940
701,263
702,7455
705,6269388
706,172
707,396
708,3121
709,52
710,1237
711,11816
715,7696
716,144
717,67
718,1215
719,1889
720,1083
721,444
722,276
723,23
724,0
725,14888
726,504
728,200
729,65
730,2335
731,26
732,1129446
733,31
734,4614
735,583
736,61959
737,2469
739,5799
740,23
741,190
742,1301
743,60
744,912
745,10
746,3955
747,6032
748,503
749,5191
750,139
751,87
752,22787
753,264
754,1598660
755,629
756,92
757,137
758,92897
759,135068
760,11
761,46137
763,252
764,34
765,796903
766,16
767,258459
768,933
769,7920
770,62821
771,503
772,37
773,5
774,101
775,17
777,11495
778,82
779,19
780,201
781,249
782,1281
783,1835
784,627
785,5161
787,1430362
788,119190
789,79
790,59868
791,18927
792,10149
793,3974
794,59
795,5
796,393
797,220
798,168
799,63922
800,797
801,23
802,1705
803,15722
804,31006
805,322263
806,394951
807,8
808,394
809,701
810,107
811,145
812,738
813,82
814,50
815,20359
816,43396
817,4
818,85450
819,15
820,119190
821,57123
823,28004
824,35272
825,4
826,320
827,1992
828,11
829,6158
830,128
831,9
832,35
833,25
834,9650
835,21335
836,81
837,147
838,2482
839,63
840,47269
842,68
843,45086
844,0
845,40
846,987
847,36
848,80
849,4771
850,161098
851,2488
853,51
854,2429096
855,2755
856,73549
857,7430
858,23
860,133
861,246202
862,1
863,4615
864,402
865,29
866,33
867,5
868,7028
869,78
870,31
871,25
872,160
873,66253
874,80
875,265
876,2087
877,468
878,1309
879,58662
880,492
881,8649
882,2260
883,4582
884,32
885,10118065
886,65820
887,6103
888,20
889,26660
890,7
891,22445
892,235878
893,856
894,22
895,95
896,550
897,21617
898,22
899,217
900,1922
901,16
902,508
903,135086
904,62821
905,9
906,550
907,121918
908,1640
909,135026
910,17
911,7
912,865
914,140
915,1159
916,3240
917,78
918,111729
919,424
920,51
921,89
922,89
923,27937
924,5828
925,266197
926,3186
927,145
928,52
929,26617
930,3955
931,229
932,4213
933,1
934,1261
935,376
936,2208
937,66
938,418
939,13
940,377
941,43116
942,3
943,4617
944,25300
945,26708
946,22
947,377
948,74545
949,427458
950,57
951,48
952,62
953,795
955,701692
956,967
957,7896
958,3408
959,11483
960,6158
961,644
962,84243
963,20
964,1053
965,2537
966,1728
967,5
968,17
969,5
970,23147
971,2117
972,126
973,127
974,81
975,80
976,1031
978,17
979,871
980,454
981,446
982,1892
983,12
984,28
985,984
986,21
987,832
989,474
990,729
991,1095
992,213
993,7048
994,135
995,76
996,5784
997,4887
998,0
999,55
