,Installs
0,3.0
1,14.0
3,9.0
4,12.0
5,15.0
6,12.0
7,5.0
8,12.0
9,15.0
10,2.0
11,5.0
12,8.0
15,1.0
16,9.0
17,14.0
18,8.0
19,2.0
20,17.0
21,5.0
22,8.0
23,13.0
24,3.0
25,15.0
26,8.0
27,5.0
28,8.0
29,2.0
30,2.0
31,8.0
32,5.0
33,8.0
34,2.0
35,5.0
36,18.0
37,14.0
38,8.0
39,12.0
40,11.0
41,6.0
42,2.0
43,2.0
45,11.0
46,6.0
47,2.0
48,8.0
50,9.0
51,6.0
52,8.0
53,6.0
54,11.0
55,5.0
56,18.0
57,5.0
58,6.0
59,9.0
60,8.0
61,17.0
62,17.0
64,11.0
65,8.0
66,12.0
67,6.0
68,12.0
69,15.0
70,17.0
71,8.0
72,17.0
73,14.0
74,12.0
75,6.0
76,15.0
77,3.0
78,17.0
79,11.0
80,2.0
81,5.0
82,12.0
83,8.0
84,8.0
85,8.0
86,6.0
87,14.0
88,1.0
89,2.0
90,14.0
91,2.0
92,12.0
93,2.0
94,5.0
95,2.0
96,8.0
97,8.0
98,2.0
99,14.0
100,14.0
101,8.0
102,9.0
103,11.0
104,2.0
105,14.0
106,11.0
107,9.0
108,9.0
109,14.0
110,12.0
112,5.0
113,1.0
114,5.0
115,2.0
116,15.0
117,2.0
118,2.0
119,5.0
121,2.0
122,12.0
123,18.0
126,5.0
127,15.0
128,1.0
129,8.0
130,8.0
131,2.0
132,6.0
133,5.0
134,8.0
135,5.0
136,8.0
137,6.0
138,5.0
139,2.0
140,12.0
141,6.0
143,5.0
144,5.0
145,14.0
146,2.0
147,14.0
148,5.0
149,17.0
151,8.0
152,6.0
153,12.0
154,17.0
155,6.0
156,6.0
157,12.0
158,9.0
159,17.0
160,8.0
161,5.0
162,9.0
163,2.0
164,8.0
165,8.0
166,8.0
167,1.0
168,12.0
169,2.0
170,2.0
171,9.0
172,5.0
174,8.0
175,6.0
176,5.0
177,17.0
178,6.0
179,5.0
180,2.0
181,17.0
182,2.0
183,18.0
184,15.0
185,2.0
186,5.0
187,14.0
188,5.0
189,6.0
190,2.0
191,2.0
192,5.0
193,6.0
194,8.0
196,8.0
197,5.0
198,2.0
199,8.0
200,3.0
201,5.0
203,5.0
204,1.0
205,2.0
206,2.0
207,1.0
208,2.0
209,9.0
210,17.0
211,5.0
212,5.0
213,6.0
214,8.0
215,5.0
216,6.0
217,5.0
218,6.0
219,12.0
220,8.0
221,6.0
222,8.0
223,8.0
224,1.0
225,6.0
226,6.0
227,15.0
228,8.0
229,15.0
230,8.0
231,14.0
234,11.0
235,6.0
236,12.0
237,5.0
238,1.0
239,2.0
240,17.0
241,8.0
242,12.0
243,12.0
245,14.0
246,2.0
247,12.0
248,2.0
249,2.0
250,8.0
251,9.0
252,2.0
253,5.0
254,8.0
255,8.0
256,14.0
257,17.0
258,9.0
259,8.0
260,6.0
261,9.0
262,5.0
263,12.0
264,6.0
265,9.0
266,17.0
267,5.0
268,6.0
269,14.0
270,8.0
271,9.0
272,14.0
273,2.0
275,14.0
276,15.0
277,18.0
278,8.0
279,8.0
280,8.0
281,11.0
282,14.0
283,12.0
284,6.0
285,2.0
286,8.0
287,6.0
288,17.0
289,8.0
290,1.0
291,6.0
292,8.0
294,6.0
295,9.0
296,14.0
297,8.0
298,5.0
299,5.0
301,15.0
302,8.0
303,8.0
304,5.0
305,17.0
306,2.0
307,6.0
308,5.0
309,14.0
310,5.0
311,5.0
312,5.0
313,17.0
314,17.0
315,17.0
316,2.0
317,6.0
319,14.0
320,15.0
321,2.0
322,5.0
323,6.0
324,2.0
325,6.0
327,2.0
328,2.0
329,2.0
330,14.0
331,1.0
332,2.0
333,2.0
334,8.0
336,8.0
337,6.0
338,2.0
339,5.0
340,12.0
341,9.0
342,12.0
344,6.0
345,5.0
346,6.0
347,17.0
348,14.0
349,17.0
350,5.0
351,8.0
352,2.0
353,12.0
354,14.0
355,18.0
356,8.0
357,8.0
358,2.0
359,5.0
360,12.0
361,6.0
362,11.0
363,8.0
364,5.0
365,5.0
366,14.0
367,9.0
368,14.0
369,8.0
370,2.0
371,5.0
372,2.0
373,17.0
374,15.0
375,9.0
376,8.0
377,6.0
378,2.0
379,2.0
380,14.0
381,12.0
382,17.0
383,8.0
384,12.0
385,2.0
387,2.0
388,8.0
389,14.0
390,14.0
391,2.0
392,17.0
393,6.0
394,8.0
395,11.0
396,8.0
397,12.0
398,8.0
399,6.0
400,5.0
401,5.0
402,12.0
403,17.0
404,6.0
405,14.0
406,12.0
407,5.0
408,17.0
409,6.0
410,12.0
411,8.0
412,17.0
413,14.0
414,13.0
415,9.0
416,8.0
417,5.0
418,6.0
419,2.0
420,17.0
421,2.0
422,9.0
423,1.0
424,5.0
425,2.0
426,12.0
427,2.0
428,8.0
429,5.0
430,2.0
431,2.0
432,14.0
433,2.0
434,8.0
435,8.0
436,8.0
437,6.0
438,6.0
439,14.0
440,0.0
441,2.0
442,8.0
444,8.0
445,6.0
446,6.0
447,14.0
448,6.0
450,5.0
451,8.0
453,14.0
454,14.0
455,5.0
456,17.0
457,14.0
459,8.0
460,2.0
461,1.0
462,8.0
463,5.0
464,6.0
465,14.0
466,6.0
467,17.0
468,9.0
469,2.0
470,15.0
471,5.0
472,6.0
473,6.0
475,6.0
476,7.0
477,2.0
478,2.0
479,2.0
480,2.0
481,17.0
483,6.0
484,8.0
485,8.0
486,9.0
487,5.0
488,5.0
489,9.0
490,6.0
491,2.0
492,6.0
493,5.0
494,15.0
495,5.0
496,17.0
497,1.0
498,9.0
499,2.0
500,8.0
501,5.0
502,17.0
503,2.0
504,5.0
505,5.0
506,12.0
507,2.0
508,8.0
509,6.0
510,9.0
511,2.0
512,1.0
513,6.0
514,2.0
515,17.0
516,8.0
517,11.0
518,12.0
519,2.0
520,2.0
521,8.0
522,2.0
523,2.0
524,8.0
525,14.0
526,2.0
527,6.0
528,8.0
529,9.0
530,1.0
531,8.0
532,11.0
533,2.0
534,1.0
535,17.0
536,11.0
537,11.0
538,8.0
539,2.0
540,11.0
541,8.0
542,8.0
543,2.0
544,2.0
545,6.0
546,17.0
547,8.0
548,17.0
549,5.0
550,1.0
551,5.0
552,2.0
553,5.0
554,6.0
555,8.0
556,2.0
557,11.0
558,6.0
559,2.0
560,1.0
561,8.0
563,6.0
564,6.0
565,9.0
566,15.0
567,3.0
568,11.0
569,14.0
570,17.0
572,11.0
573,8.0
574,12.0
575,17.0
576,8.0
577,2.0
578,8.0
579,15.0
580,11.0
581,6.0
582,12.0
583,15.0
584,15.0
585,8.0
586,14.0
587,6.0
588,6.0
589,9.0
590,12.0
591,11.0
592,1.0
593,8.0
594,2.0
595,8.0
596,8.0
597,17.0
598,2.0
599,8.0
600,14.0
601,2.0
603,12.0
604,17.0
605,17.0
606,12.0
607,12.0
608,8.0
609,6.0
610,2.0
611,14.0
612,2.0
614,2.0
615,12.0
616,2.0
617,8.0
618,14.0
619,17.0
620,2.0
621,5.0
622,13.0
623,2.0
624,12.0
625,8.0
626,8.0
627,17.0
628,12.0
629,8.0
631,5.0
632,5.0
633,14.0
634,2.0
636,8.0
637,3.0
638,14.0
639,6.0
640,12.0
641,2.0
642,8.0
643,5.0
644,1.0
645,8.0
646,8.0
647,9.0
648,2.0
649,8.0
650,5.0
651,5.0
652,15.0
653,6.0
654,5.0
655,15.0
656,14.0
657,2.0
658,5.0
659,6.0
660,8.0
661,9.0
662,5.0
663,6.0
664,1.0
665,14.0
666,1.0
667,8.0
668,8.0
669,5.0
670,8.0
671,11.0
672,17.0
673,8.0
674,17.0
675,6.0
676,14.0
677,2.0
678,12.0
679,9.0
680,6.0
681,5.0
682,12.0
683,2.0
684,5.0
687,2.0
688,8.0
689,14.0
690,8.0
692,5.0
693,8.0
694,14.0
695,17.0
696,6.0
697,8.0
698,2.0
699,2.0
700,6.0
701,8.0
702,12.0
705,13.0
706,8.0
707,8.0
708,2.0
709,14.0
710,2.0
711,6.0
715,12.0
716,8.0
717,14.0
718,2.0
719,2.0
720,2.0
721,8.0
722,8.0
723,5.0
724,0.0
725,6.0
726,17.0
728,8.0
729,14.0
730,2.0
731,5.0
732,3.0
733,5.0
734,2.0
735,17.0
736,15.0
737,2.0
739,12.0
740,5.0
741,8.0
742,2.0
743,14.0
744,17.0
745,5.0
746,2.0
747,12.0
748,17.0
749,12.0
750,8.0
751,14.0
752,6.0
753,8.0
754,3.0
755,17.0
756,14.0
757,8.0
758,15.0
759,9.0
760,5.0
761,6.0
763,8.0
764,5.0
765,18.0
766,5.0
767,9.0
768,17.0
769,12.0
770,15.0
771,17.0
772,5.0
773,11.0
774,8.0
775,5.0
777,6.0
778,14.0
779,5.0
780,8.0
781,8.0
782,2.0
783,2.0
784,17.0
785,12.0
787,3.0
788,9.0
789,14.0
790,15.0
791,6.0
792,6.0
793,2.0
794,14.0
795,11.0
796,8.0
797,8.0
798,8.0
799,15.0
800,17.0
801,5.0
802,2.0
803,6.0
804,6.0
805,9.0
806,9.0
807,11.0
808,8.0
809,17.0
810,8.0
811,8.0
812,17.0
813,14.0
814,14.0
815,6.0
816,6.0
817,1.0
818,15.0
819,5.0
820,9.0
821,15.0
823,6.0
824,6.0
825,1.0
826,8.0
827,2.0
828,5.0
829,12.0
830,8.0
831,11.0
832,5.0
833,5.0
834,12.0
835,6.0
836,14.0
837,8.0
838,2.0
839,14.0
840,6.0
842,14.0
843,6.0
844,0.0
845,5.0
846,17.0
847,5.0
848,14.0
849,2.0
850,9.0
851,2.0
853,14.0
854,3.0
855,2.0
856,15.0
857,12.0
858,5.0
860,8.0
861,9.0
862,1.0
863,2.0
864,8.0
865,5.0
866,5.0
867,11.0
868,12.0
869,14.0
870,5.0
871,5.0
872,8.0
873,15.0
874,14.0
875,8.0
876,2.0
877,8.0
878,2.0
879,15.0
880,8.0
881,12.0
882,2.0
883,2.0
884,5.0
885,7.0
886,15.0
887,12.0
888,5.0
889,6.0
890,11.0
891,6.0
892,9.0
893,17.0
894,5.0
895,14.0
896,17.0
897,6.0
898,5.0
899,8.0
900,2.0
901,5.0
902,17.0
903,9.0
904,15.0
905,11.0
906,17.0
907,9.0
908,2.0
909,9.0
910,5.0
911,11.0
912,17.0
914,8.0
915,2.0
916,2.0
917,14.0
918,9.0
919,8.0
920,14.0
921,14.0
922,14.0
923,6.0
924,12.0
925,9.0
926,2.0
927,8.0
928,14.0
929,6.0
930,2.0
931,8.0
932,2.0
933,1.0
934,2.0
935,8.0
936,2.0
937,14.0
938,8.0
939,5.0
940,8.0
941,6.0
942,1.0
943,2.0
944,6.0
945,6.0
946,5.0
947,8.0
948,15.0
949,9.0
950,14.0
951,5.0
952,14.0
953,17.0
955,18.0
956,17.0
957,12.0
958,2.0
959,6.0
960,12.0
961,17.0
962,15.0
963,5.0
964,2.0
965,2.0
966,2.0
967,11.0
968,5.0
969,11.0
970,6.0
971,2.0
972,8.0
973,8.0
974,14.0
975,14.0
976,2.0
978,5.0
979,17.0
980,8.0
981,8.0
982,2.0
983,5.0
984,5.0
985,17.0
986,5.0
987,17.0
989,8.0
990,17.0
991,2.0
992,8.0
993,12.0
994,8.0
995,14.0
996,12.0
997,2.0
998,0.0
999,14.0
1000,1.0
1001,2.0
1002,8.0
1003,12.0
1004,5.0
1005,17.0
1006,9.0
1007,8.0
1008,2.0
1009,18.0
1010,15.0
1012,14.0
1013,9.0
1014,17.0
1015,11.0
1016,17.0
1017,11.0
1018,12.0
1019,8.0
1020,17.0
1022,6.0
1023,12.0
1024,1.0
1025,8.0
1026,2.0
1028,5.0
1029,8.0
1030,7.0
1031,5.0
1033,9.0
1035,5.0
1036,2.0
1038,5.0
1039,14.0
1040,14.0
1041,17.0
1042,18.0
1043,2.0
1044,8.0
1045,6.0
1046,8.0
1047,17.0
1048,5.0
1049,8.0
1050,12.0
1051,8.0
1052,8.0
1053,6.0
1054,12.0
1055,1.0
1056,12.0
1057,17.0
1058,14.0
1059,18.0
1060,2.0
1061,14.0
1062,5.0
1063,17.0
1064,11.0
1065,14.0
1066,2.0
1067,17.0
1068,12.0
1069,12.0
1070,8.0
1071,5.0
1072,14.0
1073,12.0
1074,8.0
1075,15.0
1076,12.0
1077,17.0
1078,14.0
1079,8.0
1080,17.0
1081,8.0
1082,8.0
1083,14.0
1084,2.0
1085,14.0
1086,2.0
1087,3.0
